Estado,Município(s),Nome do Conflito,Data,Famílias,Categoria
Acre,Acrelândia,Seringal Triunfo/Ramal do Pelé,04/08/2022,129,Posseiro
Acre,Acrelândia,Faz. da Rondobrás/BR-364/Km 105/Gleba Porto Luiz,08/09/2022,12,Posseiro
Acre,Acrelândia,Fazenda Canaã,09/09/2022,72,Posseiro
Acre,Acrelândia,Ocupação do Baiano,14/09/2022,38,Posseiro
Acre,Acrelândia,Faz. do Senhor Viana/Ramal da 7/Estrada AC-475/Gl. Porto Luiz,10/10/2022,28,Posseiro
Acre,Acrelândia,Faz. Sará/Gleba Porto Luiz,17/10/2022,30,Posseiro
Acre,Acrelândia,Seringal Porto Dias,08/11/2022,80,Extrativista
Acre,Acrelândia,Faz. do Zé Capim/BR-364/Km 105,09/11/2022,40,Posseiro
Acre,Acrelândia,Fazenda Zé Juína,14/11/2022,50,Posseiro
Acre,Acrelândia,Seringal Fortaleza,14/11/2022,60,Posseiro
Acre,Acrelândia,Fazenda do Dr. Roberto,19/11/2022,41,Posseiro
Acre,Acrelândia,Faz. Girassol/Ocup. do Brito,08/12/2022,14,Posseiro
Acre,Acrelândia,Faz. Graúna/BR-364,08/12/2022,80,Posseiro
Acre,Assis Brasil,Terra Indígena Cabeceira do Rio Acre,31/05/2022,60,Indígenas
Acre,Brasiléia,Resex Chico Mendes,12/10/2022,1800,Posseiro
Acre,Bujari,Floresta Estadual do Antimary,31/01/2022,53,Assentado
Acre,Bujari,Floresta Estadual do Antimary,22/07/2022,53,Seringueiro
Acre,Bujari,Seringal Mercês,23/11/2022,321,Posseiro
Acre,Bujari,Faz. Canary/Ramal do Cacau,08/12/2022,538,Posseiro
Acre,Capixaba,Seringal Capatará /Faz. do JorgeMoura,11/11/2022,15,Posseiro
Acre,Cruzeiro do Sul,Comunidade Ramal do Buritirana,05/03/2022,27,Posseiro
Acre,Cruzeiro do Sul,Comunidade Socó,26/05/2022,14,Posseiro
Acre,Cruzeiro do Sul,Seringal Valparaíso,14/06/2022,130,Posseiro
Acre,Cruzeiro do Sul,Seringal Russas,14/06/2022,80,Posseiro
Acre,Cruzeiro do Sul,Com. Morro da Pedra e Periquito/Resex Riozinho da Liberdade,20/09/2022,1,Extrativista
Acre,Cruzeiro do Sul,T.I Jaminawa do Igarapé Preto,30/09/2022,43,Indígenas
Acre,Feijó,Terra Indígena Kampa,02/02/2022,235,Indígenas
Acre,Marechal Thaumaturgo,Reserva Extrativista do Alto Tarauacá,20/09/2022,300,Extrativista
Acre,Mâncio Lima,Seringal Santa Cruz/Com. do Oco,02/06/2022,30,Posseiro
Acre,Mâncio Lima,Seringal Santa Cruz/Com. do Oco,29/11/2022,20,Posseiro
Acre,Manoel Urbano,Seringal Novo Destino,13/05/2022,71,Seringueiro
Acre,Manoel Urbano,Seringal Barcelona,29/11/2022,30,Seringueiro
Acre,Manoel Urbano,Seringal Novo Destino,29/11/2022,71,Seringueiro
Acre,Manoel Urbano,Seringal Afluente,29/11/2022,20,Governo estadual
Acre,Manoel Urbano,Seringal Itatinga,29/11/2022,21,Seringueiro
Acre,Manoel Urbano,Seringal São Salvador,29/11/2022,15,Seringueiro
Acre,Manoel Urbano,Seringal Porto Central,29/11/2022,18,Fazendeiro
Acre,Marechal Thaumaturgo,Resex Alto Juruá,20/09/2022,1750,Seringueiro
Acre,Plácido de Castro,Faz. Luiz Gomes/Seringal Capatará,23/09/2022,80,Posseiro
Acre,Plácido de Castro,Ocupação Faz. Jorge Moura,11/11/2022,6,Posseiro
Acre,Porto Walter,Ramal do Besouro/Seringal Nazaré,09/03/2022,100,Posseiro
Acre,Rio Branco,Seringal Humaitá,06/05/2022,20,Seringueiro
Acre,Rio Branco,Seringal Belo Horizonte,06/05/2022,100,Seringueiro
Acre,Rio Branco,Seringal São Francisco do Espalha,06/05/2022,350,Seringueiro
Acre,Rio Branco,Seringal Macapá,06/05/2022,114,Seringueiro
Acre,Rio Branco,Seringal Cachoeira,06/05/2022,48,Seringueiro
Acre,Rio Branco,Seringal São Francisco do Iracema,06/05/2022,300,Seringueiro
Acre,Rio Branco,Seringal São Bernardo,06/05/2022,38,Seringueiro
Acre,Rodrigues Alves,Comunidade Pucalpa I,18/11/2022,14,Posseiro
Acre,Santa Rosa do Purus,Terra Indígena Estirão,31/05/2022,1,Indígenas
Acre,Santa Rosa do Purus,T. I Alto Rio Purus,31/05/2022,468,Indígenas
Acre,Sena Madureira,T.I Jaminawa do Rio Caeté,31/05/2022,1,Indígenas
Acre,Sena Madureira,T. I. Caiapucá,31/05/2022,1,Indígenas
Acre,Sena Madureira,Resex do Cazumbá-Iracema,20/09/2022,270,Extrativista
Acre,Sena Madureira,Seringal Novo Amparo/Ramal do 25,09/12/2022,15,Seringueiro
Acre,Sena Madureira,Seringal Novo Amparo/Ramal do 17,09/12/2022,15,Seringueiro
Acre,Sena Madureira,Seringal Novo Amparo/Ramal do 15,09/12/2022,15,Seringueiro
Acre,Tarauacá,T.I Kaxinawa Praia do Carapanã,06/01/2022,143,Indígenas
Acre,Tarauacá,T.I Kaxinawa Praia do Carapanã,14/07/2022,143,Indígenas
Alagoas,Atalaia,Acamp. Marielle Franco/Faz. Santa Tereza,17/05/2022,150,Sem Terra
Alagoas,Colônia Leopoldina,Fazenda Mônica,31/08/2022,16,Posseiro
Alagoas,Colônia Leopoldina,Fazenda Mônica,30/09/2022,16,Posseiro
Alagoas,Colônia Leopoldina,Fazenda Mônica,31/10/2022,16,Posseiro
Alagoas,Colônia Leopoldina,Fazenda Mônica,20/11/2022,1,Posseiro
Alagoas,Colônia Leopoldina,Fazenda Mônica,31/12/2022,16,Posseiro
Alagoas,Craíbas,Faz. Melancia/Mineradora Vale Verde,07/02/2022,400,Sem Terra
Alagoas,Girau do Ponciano,P. A. Roseli Nunes/Faz. Tingui,27/04/2022,35,Assentado
Alagoas,Igaci,"Acamp. Nossa Senhora de Guadalupe/
Área da Estação Experimental",24/01/2022,40,Sem Terra
Alagoas,Inhapi,T.I. Koiupanká,28/11/2022,200,Indígenas
Alagoas,Murici,Faz. Bota Velha/Acamp. Bota Velha,24/01/2022,60,Sem Terra
Alagoas,Murici,Fazenda Mumbuca,24/01/2022,40,Sem Terra
Alagoas,Pariconha,T. I. Jeripancó,20/01/2022,439,Indígenas
Alagoas,Porto de Pedras,Faz. São Domingos/Acamp. Domingas,10/08/2022,24,Sem Terra
Alagoas,Porto de Pedras,Faz. São Domingos/Acamp. Domingas,25/10/2022,24,Sem Terra
Alagoas,São Luís do Quitunde,Fazenda Santa Helena,01/02/2022,1,Sem Terra
Alagoas,Teotônio Vilela,Assent. José Elenilson II,21/02/2022,54,Assentado
Alagoas,Traipu,Quilombo Mumbaça,23/03/2022,400,Quilombola
Alagoas,Traipu,Acamp. Mandacaru/Faz. Balança,25/04/2022,65,Sem Terra
Alagoas,Traipu,Acamp. Mandacaru/Faz. Balança,26/04/2022,65,Sem Terra
Alagoas,Traipu,Acamp. Mandacaru/Faz. Balança,10/05/2022,65,Sem Terra
Amapá,Amapá,Fazenda Itapoã,31/01/2022,15,Posseiro
Amapá,Amapá,Montanha do Pluma,12/04/2022,1,Posseiro
Amapá,Amapá,Com. ao Longo do Rio Laranjeiras/Amapá,30/11/2022,20,Posseiro
Amapá,Amapá,Fazenda Espírito Santo,18/12/2022,10,Posseiro
Amapá,Amapá,São Roque/Redondo,18/12/2022,30,Posseiro
Amapá,Amapá,Base Aérea/Localidade Próxima aoCruzeiro,18/12/2022,40,Posseiro
Amapá,Calçoene,Garimpo Lourenço/Igarapé Elique,18/12/2022,3,Posseiro
Amapá,Calçoene,Asa Aberta,18/12/2022,40,Posseiro
Amapá,Calçoene,Ramal Ilha Grande,18/12/2022,15,Posseiro
Amapá,Calçoene,Ramal do Cunani e 7 Ilhas,18/12/2022,1,Extrativista
Amapá,Calçoene,Fazenda Goiana/Igarapé do 13,18/12/2022,20,Posseiro
Amapá,Cutias,Assentamento Vale da Benção/RamalParabrilho,22/04/2022,5,Assentado
Amapá,Cutias,Assentamento Vale da Benção/RamalParabrilho,23/04/2022,5,Assentado
Amapá,Cutias,Com. Alta Floresta,30/08/2022,75,Posseiro
Amapá,Ferreira Gomes,Com. Quilombola Igarapé do Palha,18/12/2022,25,Quilombola
Amapá,Ferreira Gomes,Fundos Livramento do Aporema,18/12/2022,20,Ribeirinho
Amapá,Itaubal,Jupati,18/12/2022,15,Posseiro
Amapá,Itaubal,Inajá/Corre Água,18/12/2022,30,Posseiro
Amapá,Itaubal,Com. Quil. São Miguel do Macacoari,18/12/2022,20,Quilombola
Amapá,Laranjal do Jari,"T. I. Waiãpi/Aldeia Mariry/Aldeia Missão
Tiriyó/Parque Indígena Tumucumaque",28/04/2022,300,Indígenas
Amapá,Laranjal do Jari,Parque Indígena Tumucumaque,14/07/2022,707,Indígenas
Amapá,Laranjal do Jari,"T. I. Waiãpi/Aldeia Mariry/Aldeia Missão
Tiriyó/Parque Indígena Tumucumaque",18/08/2022,300,Indígenas
Amapá,Laranjal do Jari,"T. I. Waiãpi/Aldeia Mariry/Aldeia Missão
Tiriyó/Parque Indígena Tumucumaque",23/08/2022,300,Indígenas
Amapá,Laranjal do Jari,Ramal do Retiro,30/10/2022,20,Extrativista
Amapá,Macapá,Com. Quilombola Lagoa dos Índios Arcoda Ressaca/Goiabal,14/11/2022,300,Quilombola
Amapá,Macapá,"Santa Luzia/São Tomé/Rio Pacuí/10
Comunidades Próximas ao Rio Pacuí",01/12/2022,200,Ribeirinho
Amapá,Macapá,Bailique-Foz,18/12/2022,15,Posseiro
Amapá,Macapá,"Áreas em Itaubal/Agronegócio Sinal
Verde/Boa Vista da Pedreira",18/12/2022,20,Posseiro
Amapá,Macapá,Ariri,18/12/2022,20,Quilombola
Amapá,Macapá,Porto do Céu,18/12/2022,202,Posseiro
Amapá,Macapá,Santo Antônio da Pedreira,18/12/2022,30,Ribeirinho
Amapá,Macapá,Quilombo do Ambé,18/12/2022,50,Quilombola
Amapá,Macapá,Piririm/Pacuí,18/12/2022,30,Posseiro
Amapá,Macapá,Assent. Osmar Ribeiro/Ramal do Abacate/,18/12/2022,80,Assentado
Amapá,Macapá,Recanto das Araras/Km 32-BR-156,18/12/2022,20,Posseiro
Amapá,Macapá,Quilombo Conceição do Macacoari,18/12/2022,20,Quilombola
Amapá,Mazagão,Assentamento Pancada do Camaipi,18/12/2022,6,Assentado
Amapá,Mazagão,Assentamento Extrativista do Maracá,18/12/2022,250,Assentado
Amapá,Oiapoque,"Terra Indígena Uaçá I e II/T.I. Palikur/T.I.
Galibi-Marworno/T.I.Karipuna do Amapá",04/04/2022,1115,Indígenas
Amapá,Oiapoque,TPaarpqerueeb Ná/aCc.u dnoa nCiabo Orange/Vila Velha/,26/09/2022,80,Quilombola
Amapá,Oiapoque,Parque de Tumucumaque/Vila Brasil/Ilha,18/12/2022,200,Extrativista
Amapá,Porto Grande,P. A. Nova Canaã,18/12/2022,1,Assentado
Amapá,Porto Grande,Sítio São Francisco/Igarapé Gravata,18/12/2022,2,Posseiro
Amapá,Pracuúba,Território de Uso Tradicional no Entornodo Lago Pracuúba,01/01/2022,30,Pescador
Amapá,Pracuúba,Retiro Boa Esperança,18/12/2022,2,Posseiro
Amapá,Santana,P. A. Matão do Piaçacá,13/01/2022,3,Assentado
Amapá,Santana,Faz. Nazaré/Igarapé do Lago,28/07/2022,20,Quilombola
Amapá,Santana,Fazenda Pau Furado,18/12/2022,15,Ribeirinho
Amapá,Santana,P. A. Matão do Piaçacá,18/12/2022,3,Assentado
Amapá,Santana,Ilha Santana,18/12/2022,20,Ribeirinho
Amapá,Serra do Navio,Assentamento Silvestre,30/11/2022,12,Assentado
Amapá,Serra do Navio,Cachaço/Área de Flota,18/12/2022,30,Posseiro
Amapá,Tartarugalzinho,Redenção do Araguari,30/05/2022,5,Posseiro
Amapá,Tartarugalzinho,Quilombo São Tomé,30/11/2022,30,Quilombola
Amapá,Tartarugalzinho,Comunidade ao Longo do Rio Aporema,18/12/2022,1,Posseiro
Amapá,Tartarugalzinho,TAasrsteanrtuagmale nGtroa nAdgeroextrativista do,18/12/2022,1,Assentado
Amapá,Tartarugalzinho,Ramal do Ariramba/Vale do Ariramba,18/12/2022,20,Posseiro
Amapá,Tartarugalzinho,Área na Margem Direita do Rio Itaubal/São Raimundo,18/12/2022,2,Posseiro
Amapá,Tartarugalzinho,Campo Belo,18/12/2022,1,Posseiro
Amapá,Tartarugalzinho,Fazenda Santa Cruz,18/12/2022,500,Posseiro
Amapá,Tartarugalzinho,"Ramal Nova Canaã/Colônia de Itaubal/
Faz. Santa Isabel/Pedreiro/Boca do Braço",18/12/2022,27,Posseiro
Amazonas,Apuí,Projeto Rio Juma/Assent. Jumacari,28/02/2022,700,Assentado
Amazonas,Apuí,Comunidade Santa Rosa,10/09/2022,14,Ribeirinho
Amazonas,Apuí,Comunidade Santa Rosa I/Rio Madeira,10/09/2022,14,Ribeirinho
Amazonas,Apuí,Comunidade Ribeirinha do Rivalzinho,10/09/2022,14,Ribeirinho
Amazonas,Apuí,Comunidade Santa Rosa II/Rio Madeira,10/09/2022,15,Ribeirinho
Amazonas,Apuí,Com. Pe. Cícero/Margens do Rio Aripuanã,10/09/2022,159,Ribeirinho
Amazonas,Apuí,Comunidades ao Longo do Rio Aripuanã,10/09/2022,170,Ribeirinho
Amazonas,Apuí,Comunidade Cruzeiro/Rio Madeira,10/09/2022,14,Ribeirinho
Amazonas,Apuí,PAE São Benedito,05/10/2022,1,Extrativista
Amazonas,Atalaia do Norte,T. I. Vale do Javari,15/03/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,18/03/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,23/03/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,02/04/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,03/04/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,15/04/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,11/05/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,01/06/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,30/06/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,01/07/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,15/07/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,27/07/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,08/09/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,14/09/2022,1579,Indígenas
Amazonas,Atalaia do Norte,T. I. Vale do Javari,09/11/2022,1579,Indígenas
Amazonas,Autazes,Aldeia Taquara,09/01/2022,2,Indígenas
Amazonas,Autazes,Aldeia Taquara,11/01/2022,2,Indígenas
Amazonas,Autazes,T. I. Jauary,04/03/2022,315,Indígenas
Amazonas,Autazes,T. I. Soares/Urucurituba,04/03/2022,1,Indígenas
Amazonas,Autazes,T. I. Paracuhuba,04/03/2022,134,Indígenas
Amazonas,Autazes,T. I. Paracuhuba,29/03/2022,134,Indígenas
Amazonas,Autazes,T. I. Soares/Urucurituba,29/03/2022,1,Indígenas
Amazonas,Autazes,T. I. Jauary,29/03/2022,315,Indígenas
Amazonas,Autazes,T. I. Jauary,04/04/2022,315,Indígenas
Amazonas,Autazes,T. I. Paracuhuba,04/04/2022,134,Indígenas
Amazonas,Autazes,T. I. Soares/Urucurituba,04/04/2022,1,Indígenas
Amazonas,Autazes,T. I. Soares/Urucurituba,06/07/2022,1,Indígenas
Amazonas,Autazes,T. I. Paracuhuba,06/07/2022,134,Indígenas
Amazonas,Autazes,T. I. Jauary,06/07/2022,315,Indígenas
Amazonas,Barcelos,T.I. Jurubaxi-Téa,09/02/2022,226,Indígenas
Amazonas,Benjamin Constant,Terra Indígena Guanabara,31/05/2022,96,Indígenas
Amazonas,Boca do Acre,Ramal do 37/Seringal Entre Rios/Recreiodo Sto. Antônio/Gl. Pauene,15/01/2022,31,Posseiro
Amazonas,Boca do Acre,Ramal do 37/Seringal Entre Rios/Recreiodo Sto. Antônio/Gl. Pauene,08/02/2022,31,Posseiro
Amazonas,Boca do Acre,P. A. Monte,08/02/2022,300,Assentado
Amazonas,Boca do Acre,Seringal Entre Rios/Ramal São Francisco/Faz. do Km 60/Faz. Savana,17/03/2022,49,Posseiro
Amazonas,Boca do Acre,Seringal Pirapora,26/05/2022,350,Posseiro
Amazonas,Boca do Acre,Terra Indígena Jaminawa da ColocaçãoSão Paulino,31/05/2022,1,Indígenas
Amazonas,Boca do Acre,Seringal Igarapé Grande,19/06/2022,32,Posseiro
Amazonas,Boca do Acre,Seringal Bom Lugar/Com. Nova Vida,03/07/2022,60,Ribeirinho
Amazonas,Boca do Acre,Seringal Perseverança,03/07/2022,25,Extrativista
Amazonas,Boca do Acre,Seringal Entre Rios/Ramal do 52,04/07/2022,92,Seringueiro
Amazonas,Boca do Acre,Ramal do Garrafa,12/07/2022,60,Posseiro
Amazonas,Boca do Acre,Seringal Bananeira,15/07/2022,26,Seringueiro
Amazonas,Boca do Acre,Seringal Europa,27/07/2022,37,Posseiro
Amazonas,Boca do Acre,Seringal Cametá,27/07/2022,56,Ribeirinho
Amazonas,Boca do Acre,Seringal Andaraí,11/08/2022,120,Posseiro
Amazonas,Boca do Acre,Gl. Novo Axioma Redenção/Ramal do Km104/Vila Velha,15/08/2022,33,Posseiro
Amazonas,Boca do Acre,Seringal Porto Central,18/08/2022,300,Posseiro
Amazonas,Boca do Acre,Gleba Francisco Sevalha,30/08/2022,800,Extrativista
Amazonas,Boca do Acre,Acamp. Marielle Franco/Faz. Palotina,19/09/2022,260,Sem Terra
Amazonas,Boca do Acre,Ocup. do Vinha/Ramal São Francisco/Km,22/09/2022,25,Posseiro
Amazonas,Boca do Acre,Seringal Entre Rios/Ramal do 64/Com.Lua Nova,05/10/2022,15,Posseiro
Amazonas,Boca do Acre,Seringal Novo Axioma Redenção/Ocup.do Diva,09/10/2022,48,Posseiro
Amazonas,Boca do Acre,Seringal Codó/PAE Antimary,14/10/2022,23,Seringueiro
Amazonas,Boca do Acre,Gleba Novo Axioma Redenção/Km 90/Ramal Santa Helena,05/11/2022,28,Posseiro
Amazonas,Boca do Acre,Faz. União/Cruzeirinho,07/11/2022,500,Posseiro
Amazonas,Boca do Acre,Seringal Bom Lugar/Ramal do Espigão,12/11/2022,300,Posseiro
Amazonas,Boca do Acre,Com. Cachoeirinha/Gleba Pauene/Pauini,15/11/2022,42,Posseiro
Amazonas,Boca do Acre,Comunidade Pauné/Gleba Pauné,15/11/2022,38,Posseiro
Amazonas,Boca do Acre,Gleba Novo Axioma Redenção/SeringalNovo Axioma,16/11/2022,60,Posseiro
Amazonas,Boca do Acre,Acamp. Marielle Franco/Faz. Palotina,18/12/2022,260,Sem Terra
Amazonas,Canutama,T. I. Jacareúba-Katawixi,24/03/2022,1,Indígenas
Amazonas,Canutama,T.I. Juma,27/09/2022,15,Indígenas
Amazonas,Canutama,Comunidade Belo Monte,01/11/2022,175,Extrativista
Amazonas,Canutama,T. I. Jacareúba-Katawixi,01/11/2022,1,Indígenas
Amazonas,Canutama,Comunidade Belo Monte,20/11/2022,175,Extrativista
Amazonas,Eirunepé,T.I. Kanamari do Rio Juruá,24/02/2022,80,Indígenas
Amazonas,Eirunepé,T.I. Kanamari do Rio Juruá,17/11/2022,201,Indígenas
Amazonas,Humaitá,T. I. Baixo Marmelos,21/04/2022,1,Indígenas
Amazonas,Humaitá,T. I. Tenharim Marmelos,21/04/2022,134,Indígenas
Amazonas,Iranduba,Comunidade de Paricatuba,31/12/2022,50,Posseiro
Amazonas,Iranduba,Comunidade Novo Catalão,31/12/2022,50,Posseiro
Amazonas,Iranduba,Comunidade Divino Espírito Santo,31/12/2022,50,Posseiro
Amazonas,Iranduba,Comunidade Bom Jesus,31/12/2022,50,Posseiro
Amazonas,Iranduba,Comunidade São José,31/12/2022,50,Posseiro
Amazonas,Iranduba,Com. Nova Esperança/Lago SantoAntônio,31/12/2022,50,Posseiro
Amazonas,Iranduba,Com. Nossa Senhora do Perpétuo Socorro,31/12/2022,50,Posseiro
Amazonas,Iranduba,Comunidade Grande Vitória,31/12/2022,35,Posseiro
Amazonas,Itacoatiara,Lago do Serpa,24/01/2022,125,Quilombola
Amazonas,Itacoatiara,Com. Rondon I e II/N. Sra. Aparecida doJamanã/Jesus é Meu Rei,24/01/2022,582,Ribeirinho
Amazonas,Itacoatiara,T. I. Waimiri Atroari/Linhão de Tucuruí,22/02/2022,350,Indígenas
Amazonas,Itacoatiara,Com. Rondon I e II/N. Sra. Aparecida doJamanã/Jesus é Meu Rei,06/04/2022,582,Ribeirinho
Amazonas,Itacoatiara,Lago do Serpa,17/05/2022,125,Quilombola
Amazonas,Itacoatiara,Bairro do Centenário/Área de Várzeas,06/09/2022,6,Posseiro
Amazonas,Itacoatiara,T. I. Rio Urubu,22/11/2022,94,Indígenas
Amazonas,Itamarati,T. I. Deni,17/11/2022,367,Indígenas
Amazonas,Japurá,T. I. Médio Rio Negro I,30/06/2022,497,Indígenas
Amazonas,Lábrea,Área de Indígenas Isolados do MamoriáGrande/Alto Hahabiri,31/01/2022,1,Indígenas
Amazonas,Lábrea,Faz. Palotina/Seringal Novo Natal/Com.Marielle Franco,15/02/2022,200,Posseiro
Amazonas,Lábrea,Área de Indígenas Isolados do MamoriáGrande/Alto Hahabiri,17/03/2022,1,Indígenas
Amazonas,Lábrea,T. I. Caititu,06/10/2022,255,Indígenas
Amazonas,Manaus,Aldeia Gavião,05/01/2022,1,Indígenas
Amazonas,Manaus,Distrito Agropecuário de SUFRAMA,28/01/2022,7500,Posseiro
Amazonas,Manaus,Aldeia Gavião,09/02/2022,1,Indígenas
